timestamp,sensorID,raw_VWC,temp,EC
1605757252,0,2601.7,21.8,347
1605757263,1,2515.36,21.9,351
1605757264,0,2601.32,21.8,349
1605757274,1,2514.86,21.9,345
1605757275,0,2600.04,21.8,350
1605757285,1,2515.36,21.9,350
1605757286,0,2601.27,21.8,352
1605757296,1,2514.9,21.9,350
1605757297,0,2600.11,21.8,339
1605757307,1,2514.86,21.9,349
1605757308,0,2601.69,21.8,351
1605757318,1,2514.7,21.9,343
1605757319,0,2600.2,21.8,337
1605757329,1,2514.7,21.9,345
1605757330,0,2600.12,21.8,339
1605757340,1,2514.62,21.9,350
1605757341,0,2600.09,21.8,337
1605757351,1,2516.05,21.9,344
1605757352,0,2600.43,21.8,347
1605757361,1,2515.66,21.9,345
1605757362,0,2600.74,21.8,338
1605757372,1,2515.32,21.9,351
1605757373,0,2601.16,21.8,351
1605757383,1,2516.79,21.9,344
1605757384,0,2601.53,21.8,345
1605757394,1,2515.56,21.9,344
1605757395,0,2600.9,21.8,350
1605757405,1,2516.32,21.9,343
1605757406,0,2600.92,21.8,351
1605757416,1,2516.76,21.9,344
1605757417,0,2601.13,21.8,339
1605757427,1,2515.4,21.9,350
1605757428,0,2600.24,21.8,345
1605757438,1,2516.42,21.9,350
1605757439,0,2600.59,21.8,350
1605757449,1,2515.73,21.9,343
1605757450,0,2600.22,21.8,338
1605757460,1,2516.5,21.9,344
1605757461,0,2600.93,21.8,346
1605757471,1,2515.37,21.9,343
1605757472,0,2599.87,21.8,350
1605757482,1,2515.57,21.9,349
1605757483,0,2599.91,21.8,339
1605757493,1,2515.64,21.9,344
1605757494,0,2600.46,21.8,350
1605757504,1,2515.05,21.9,350
1605757505,0,2601.38,21.8,347
1605757515,1,2514.44,21.9,352
1605757516,0,2600.27,21.8,337
1605757526,1,2515.32,21.9,350
1605757527,0,2600.94,21.8,341
1605757537,1,2515.56,21.9,349
1605757538,0,2599.86,21.8,347
1605757548,1,2515.86,21.9,349
1605757549,0,2601.55,21.8,338
1605757559,1,2515.25,21.9,351
1605757560,0,2600,21.8,337
1605757570,1,2514.78,21.9,351
1605757571,0,2600.17,21.8,344
1605757581,1,2514.96,21.9,344
1605757582,0,2599.97,21.8,344
1605757592,1,2515.28,21.9,343
1605757593,0,2600.12,21.8,352
1605757603,1,2515.09,21.9,350
1605757604,0,2600.12,21.8,351
1605757614,1,2515.19,21.9,350
1605757615,0,2601.38,21.8,345
1605757625,1,2515.32,21.9,350
1605757626,0,2601.28,21.8,347
1605757636,1,2516.4,21.9,343
1605757637,0,2600.06,21.8,346
1605757647,1,2514.72,21.9,343
1605757648,0,2601.36,21.8,339
1605757658,1,2515.36,21.9,344
1605757659,0,2601.09,21.8,339
1605757669,1,2515.31,21.9,351
1605757670,0,2600.03,21.8,345
1605757680,1,2515.65,21.9,351
1605757681,0,2601.23,21.8,348
1605757691,1,2516.65,21.9,349
1605757692,0,2600.08,21.8,351
1605757702,1,2514.49,21.9,351
1605757703,0,2600.95,21.8,350
1605757713,1,2515.05,21.9,351
1605757714,0,2599.93,21.8,342
1605757724,1,2514.62,21.9,350
1605757725,0,2601.26,21.8,339
1605757735,1,2514.5,21.9,343
1605757736,0,2599.75,21.8,351
1605757746,1,2515.44,21.9,351
1605757747,0,2599.65,21.8,339
1605757757,1,2514.62,21.9,346
1605757758,0,2601.17,21.8,339
1605757768,1,2515.53,21.9,350
1605757769,0,2601.09,21.8,351
1605757779,1,2516.34,21.9,341
1605757780,0,2601.04,21.8,352
1605757790,1,2515.82,21.9,350
1605757791,0,2601.37,21.8,338
1605757801,1,2516.73,21.9,350
1605757802,0,2601.09,21.8,337
1605757812,1,2515.34,21.9,350
1605757813,0,2600.1,21.8,351
1605757823,1,2514.82,21.9,350
1605757824,0,2600.57,21.8,351
1605757834,1,2516.2,21.9,350
1605757835,0,2600.53,21.8,339
1605757845,1,2515.51,21.9,345
1605757846,0,2600.24,21.8,351
1605757856,1,2514.45,21.9,343
1605757857,0,2600.11,21.8,335
1605757867,1,2515.05,21.9,343
1605757868,0,2600.44,21.8,352
1605757878,1,2516.49,21.9,350
1605757879,0,2600.86,21.8,344
1605757889,1,2514.46,21.9,344
1605757890,0,2601.19,21.8,351
1605757900,1,2514.83,21.9,351
1605757901,0,2600.23,21.8,347
1605757911,1,2516.65,21.9,350
1605757912,0,2600.26,21.8,352
1605757922,1,2514.12,21.9,349
1605757923,0,2600.87,21.8,340
1605757933,1,2516.5,21.9,350
1605757934,0,2600,21.8,339
1605757944,1,2516.34,21.9,343
1605757945,0,2600.24,21.8,351
1605757955,1,2514.77,21.9,351
1605757956,0,2600.02,21.8,346
1605757966,1,2516.49,21.9,352
1605757967,0,2600.13,21.8,349
1605757977,1,2515.3,21.9,350
1605757978,0,2601.16,21.8,339
1605757988,1,2514.65,21.9,349
1605757989,0,2600.09,21.8,353
1605757999,1,2515.02,21.9,351
1605758000,0,2601.34,21.8,350
1605758010,1,2515.26,21.9,344
1605758011,0,2601.15,21.8,347
1605758021,1,2514.77,21.9,350
1605758022,0,2600.08,21.8,339
1605758032,1,2514.72,21.9,350
1605758033,0,2599.96,21.8,346
1605758043,1,2515.77,21.9,344
1605758044,0,2601.13,21.8,347
1605758054,1,2516.69,21.9,351
1605758055,0,2600.75,21.8,345
1605758065,1,2515.42,21.9,349
1605758066,0,2599.91,21.8,337
1605758076,1,2516.44,21.9,350
1605758077,0,2601.45,21.8,338
1605758087,1,2516.13,21.9,349
1605758088,0,2600.27,21.8,343
1605758098,1,2514.48,21.9,346
1605758099,0,2599.95,21.8,337
1605758109,1,2515.33,21.9,349
1605758110,0,2600.94,21.8,345
1605758120,1,2515.47,21.9,352
1605758121,0,2600.57,21.8,337
1605758131,1,2516.85,21.9,348
1605758132,0,2600.3,21.8,340
1605758142,1,2514.7,21.9,343
1605758143,0,2601.11,21.8,339
1605758153,1,2515.87,21.9,350
1605758154,0,2600.8,21.8,337
1605758164,1,2516.54,21.9,350
1605758165,0,2600.19,21.8,338
1605758175,1,2516.45,21.9,345
1605758176,0,2601.07,21.8,340
1605758186,1,2514.77,21.9,345
1605758187,0,2599.8,21.8,350
1605758197,1,2514.9,21.9,347
1605758198,0,2600.86,21.8,347
1605758208,1,2516.51,21.9,351
1605758209,0,2600.74,21.8,350
1605758219,1,2515.2,21.9,350
1605758220,0,2600.2,21.8,345
1605758230,1,2516.15,21.9,351
1605758231,0,2600.31,21.8,338
1605758241,1,2515.52,21.9,349
1605758242,0,2601.39,21.8,338
1605758252,1,2514.63,21.9,349
1605758253,0,2600.87,21.8,345
1605758263,1,2515.33,21.9,344
1605758264,0,2601.03,21.8,350
1605758274,1,2515.78,21.9,350
1605758275,0,2600.6,21.8,338
1605758285,1,2515.81,21.9,343
1605758286,0,2601.37,21.8,345
1605758296,1,2514.77,21.9,343
1605758297,0,2600.02,21.8,345
1605758307,1,2516.37,21.9,349
1605758308,0,2600.57,21.8,336
1605758317,1,2515.99,21.9,349
1605758318,0,2600.76,21.8,337
1605758328,1,2516.51,21.9,350
1605758329,0,2600.55,21.8,344
1605758339,1,2515.83,21.9,349
1605758340,0,2601.35,21.8,338
1605758350,1,2515.47,21.9,351
1605758351,0,2600.19,21.8,337
1605758361,1,2516.28,21.9,351
1605758362,0,2600.32,21.8,351
1605758372,1,2514.18,21.9,351
1605758373,0,2600.89,21.8,338
1605758383,1,2515.97,21.9,350
1605758384,0,2600.01,21.8,339
1605758394,1,2516.36,21.9,348
1605758395,0,2600.37,21.8,351
1605758405,1,2515.84,21.9,346
1605758406,0,2600.41,21.8,339
1605758416,1,2514.78,21.9,345
1605758417,0,2599.92,21.8,338
